Episode,Run 1,Run 2,Run 3
1450,68,75,57
1451,62,63,39
1452,56,106,33
1453,67,85,79
1454,85,103,78
1455,79,92,72
1456,65,90,112
1457,46,114,31
1458,66,133,72
1459,82,77,30
1460,123,100,39
1461,60,105,76
1462,59,53,60
1463,62,106,69
1464,87,78,66
1465,81,76,70
1466,76,74,53
1467,66,128,31
1468,107,171,81
1469,73,94,79
1470,57,41,109
1471,66,102,78
1472,40,36,63
1473,78,76,37
1474,62,59,68
1475,83,88,71
1476,86,93,122
1477,74,98,103
1478,85,116,86
1479,64,136,25
1480,76,97,35
1481,74,110,58
1482,47,98,57
1483,73,65,53
1484,62,131,82
1485,82,53,63
1486,66,172,66
1487,76,103,32
1488,67,94,37
1489,77,130,59
1490,66,109,72
1491,75,59,80
1492,62,72,76
1493,59,67,62
1494,97,48,62
1495,100,51,147
1496,46,111,70
1497,57,61,91
1498,73,130,33
1499,44,72,57
1500,60,100,96
1501,67,40,98
1502,49,84,53
1503,113,79,77
1504,64,89,42
1505,107,200,61
1506,132,96,39
1507,88,88,94
1508,71,105,63
1509,62,82,95
1510,60,85,26
1511,44,109,75
1512,71,81,67
1513,85,38,80
1514,67,116,70
1515,88,98,63
1516,79,37,48
1517,57,29,34
1518,91,111,32
1519,62,78,79
1520,77,115,71
1521,95,86,63
1522,88,72,27
1523,93,64,29
1524,77,100,47
1525,87,108,74
1526,72,82,80
1527,60,85,55
1528,112,154,31
1529,67,65,72
1530,56,73,68
1531,79,85,150
1532,77,39,69
1533,94,105,38
1534,99,152,118
1535,65,58,28
1536,74,72,40
1537,76,107,57
1538,65,69,58
1539,62,88,57
1540,59,63,99
1541,61,71,54
1542,73,111,64
1543,40,86,57
1544,72,85,72
1545,61,79,29
1546,67,96,56
1547,61,94,30
1548,60,92,98
1549,58,110,76
1550,85,162,32
1551,74,30,96
1552,64,73,57
1553,84,33,61
1554,75,105,79
1555,49,81,76
1556,71,88,31
1557,76,98,30
1558,78,127,67
1559,63,76,59
1560,71,123,29
1561,97,96,103
1562,128,74,62
1563,78,85,34
1564,74,100,32
1565,105,92,55
1566,148,49,55
1567,80,147,31
1568,44,105,36
1569,89,87,36
1570,71,124,61
1571,68,39,57
1572,85,69,36
1573,62,84,31
1574,63,109,73
1575,64,129,34
1576,56,142,78
1577,51,76,56
1578,69,99,88
1579,52,80,57
1580,75,39,57
1581,81,76,37
1582,90,90,57
1583,75,83,34
1584,72,111,64
1585,81,118,70
1586,61,101,37
1587,92,100,32
1588,68,51,40
1589,119,87,64
1590,56,100,59
1591,80,73,67
1592,79,105,68
1593,70,149,76
1594,91,88,65
1595,61,73,53
1596,67,85,34
1597,75,43,54
1598,98,76,66
1599,68,130,31
1600,68,63,61
1601,74,76,31
1602,78,91,101
1603,63,98,65
1604,55,88,50
1605,49,102,30
1606,58,168,30
1607,76,86,58
1608,82,120,33
1609,79,72,62
1610,62,42,70
1611,72,41,61
1612,105,69,75
1613,97,112,57
1614,86,68,36
1615,71,115,71
1616,58,93,31
1617,60,90,34
1618,95,74,32
1619,73,68,59
1620,66,89,63
1621,68,83,53
1622,71,139,58
1623,71,53,78
1624,93,98,65
1625,64,82,51
1626,70,64,61
1627,97,119,114
1628,60,110,32
1629,79,70,61
1630,74,102,78
1631,78,96,28
1632,91,36,37
1633,82,93,29
1634,56,45,69
1635,112,34,83
1636,61,88,58
1637,72,135,72
1638,63,144,61
1639,88,125,63
1640,96,55,64
1641,67,76,53
1642,74,43,77
1643,65,114,46
1644,64,68,58
1645,64,85,59
1646,48,51,32
1647,90,84,71
1648,84,141,80
1649,47,117,84
1650,102,33,32
1651,88,83,117
1652,74,106,98
1653,43,117,62
1654,68,93,55
1655,76,90,76
1656,58,119,89
1657,80,76,57
1658,65,75,30
