,1,37,42,,
409,-370.9038352,-460.8066954,-559.2522076,,
410,-374.5141246,-465.0567132,-555.2091612,,
411,-375.8316416,-464.9170784,-551.7287658,,
412,-380.4940146,-464.1902704,-552.1434207,,
413,-383.5597902,-464.7011925,-552.793347,,
414,-384.9040946,-464.1619003,-549.4019152,,
415,-388.050519,-461.2159823,-551.0008986,,
416,-383.6414279,-458.4924971,-552.0527466,,
417,-389.5149007,-461.0291728,-552.2246668,,
418,-390.7950358,-463.1205832,-553.3176719,,
419,-393.7374449,-466.0267623,-556.2522433,,
420,-393.7029257,-462.2702912,-553.2034297,,
421,-388.9573924,-468.8999107,-549.0675689,,
422,-386.9862649,-468.3290965,-549.6417636,,
423,-382.364437,-465.9126901,-548.1134282,,
424,-382.839792,-467.4415723,-547.2552667,,
425,-386.8212332,-466.5951641,-548.3811849,,
426,-387.5120304,-464.8614897,-547.5117447,,
427,-388.2999224,-471.1424408,-546.3351465,,
428,-384.6748878,-479.2315235,-547.1759045,,
429,-381.8787233,-476.5612057,-545.81062,,
430,-384.5172751,-473.3497192,-545.0110831,,
431,-383.1869935,-472.5926927,-545.3849654,,
432,-384.6580208,-467.5487638,-545.1718531,,
433,-383.2059341,-464.6141013,-547.9166756,,
434,-380.3319123,-463.5567004,-550.3464597,,
435,-382.4161629,-457.646372,-549.9478237,,
436,-381.6553879,-453.1118392,-549.5788326,,
437,-383.1679182,-447.2817976,-549.7936373,,
438,-388.6378218,-443.7964591,-551.0253232,,
439,-392.2657422,-441.0126137,-549.1087066,,
440,-393.5230003,-439.6572263,-554.8579813,,
441,-390.9815644,-436.3058718,-560.2713309,,
442,-387.0510027,-435.3560095,-559.9859891,,
443,-385.9605881,-431.9045363,-561.5632617,,
444,-385.2354743,-428.5204589,-563.9811483,,
445,-387.401676,-424.3894627,-568.3252884,,
446,-388.5753538,-418.9016542,-566.9563363,,
447,-391.1156281,-417.6931689,-563.4297678,,
448,-394.7877263,-412.9792786,-563.4255034,,
449,-397.2523903,-408.6785607,-561.11286,,
450,-402.2684835,-402.6797452,-561.5800548,,
451,-404.2143497,-395.653604,-560.1875057,,
452,-405.8912068,-391.9052828,-561.3205196,,
453,-408.3297236,-388.2590022,-560.2116676,,
454,-415.4015599,-383.7487635,-561.4970181,,
455,-418.1479964,-380.1282357,-561.358814,,
456,-422.9213177,-376.615124,-565.8984526,,
457,-428.5285841,-374.2743461,-561.6618336,,
458,-433.4382255,-370.4675078,-557.7570097,,
459,-436.6320926,-364.0880865,-560.5184018,,
460,-440.4500573,-360.2912178,-560.3266195,,
461,-443.4227755,-354.6412317,-559.3399679,,
462,-445.4521717,-351.3418022,-563.116904,,
463,-448.6253641,-346.1383105,-562.1946724,,
464,-446.8137495,-346.4439528,-563.1104033,,
465,-445.1157026,-347.7314971,-562.3981685,,
466,-443.5754717,-349.2557921,-558.9722984,,
467,-440.2454287,-348.8651815,-562.2032624,,
468,-440.7220199,-349.7074743,-562.4544909,,
469,-440.702068,-350.5092045,-561.3058894,,
470,-442.3954502,-350.6957308,-556.3110478,,
471,-442.4849122,-349.5501248,-556.7185174,,
472,-443.1147146,-344.1735836,-560.0746731,,
473,-442.2091644,-347.3739305,-556.8022569,,
474,-443.2249832,-347.42147,-554.7147763,,
475,-441.7381363,-351.81894,-552.1957593,,
476,-446.5437163,-358.629779,-548.4516996,,
477,-454.2151677,-362.3775451,-543.683406,,
478,-458.2656287,-362.6549262,-544.5683807,,
479,-457.8564088,-361.7741957,-543.7430519,,
480,-459.7067147,-366.2037079,-545.7711905,,
481,-458.6121737,-372.1570267,-549.082416,,
482,-459.5211301,-372.7630948,-555.1989556,,
483,-460.2101107,-371.1646351,-556.3857433,,
484,-459.4840565,-374.0510539,-551.6529552,,
485,-463.3701329,-378.3112887,-554.4813508,,
486,-467.4573127,-378.2359853,-548.6282326,,
487,-472.8660307,-381.2794281,-543.0936168,,
488,-474.5259839,-381.7803676,-538.679683,,
489,-472.7313085,-383.7756783,-538.2247507,,
490,-477.1154345,-386.0604681,-538.3117005,,
491,-476.5805695,-388.4049201,-534.2143014,,
492,-475.4463068,-390.048204,-532.0043076,,
493,-474.7820979,-395.5233191,-532.0843958,,
494,-476.3774234,-394.892419,-533.7371219,,
495,-479.0966708,-390.2598282,-533.7859407,,
496,-477.3138026,-389.8421246,-532.2159261,,
497,-478.748421,-388.0078736,-531.4910332,,
498,-480.1791091,-387.1483997,-531.2341195,,
499,-479.9604845,-390.6676082,-533.9146684,,
500,-476.281426,-395.6898411,-533.6577271,,
501,-476.7819941,-399.0527327,-535.5411615,,
502,-475.6929347,-402.5965434,-532.8188219,,
503,-478.3256132,-408.2641528,-534.3380112,,
504,-477.3935085,-409.9937588,-534.1869218,,
505,-480.3906209,-413.2403345,-537.8066235,,
506,-481.3044689,-416.3975781,-539.9434749,,
507,-481.5524883,-419.7175018,-548.8605283,,
508,-482.0739011,-423.1170161,-548.9815621,,
509,-485.5544758,-425.592398,-546.0374554,,
510,-484.8950978,-423.2380832,-543.4374202,,
