,Seed 1,Seed 37,Seed 42
175,-206.7228202,-350.507007,-228.4863501
176,-208.8016629,-350.5836735,-232.3663113
177,-209.7106889,-351.4620108,-234.7026982
178,-208.321376,-352.6839852,-235.0860794
179,-205.6926527,-353.2859873,-231.7054431
180,-204.1417958,-350.39639,-232.9277578
181,-201.8024251,-348.496436,-233.5476567
182,-201.3176432,-349.6805443,-238.2936973
183,-202.2005861,-354.2766274,-239.1000653
184,-198.5035806,-353.4786798,-241.1236687
185,-199.756321,-352.4311168,-242.3786457
186,-198.3291675,-348.0114834,-241.8786432
187,-201.6575061,-350.5838479,-243.3345784
188,-204.9557989,-350.7526466,-247.441954
189,-202.7068444,-356.4058361,-247.9991706
190,-201.2684678,-354.0275953,-246.9129828
191,-201.3651737,-354.189595,-251.3155789
192,-201.9386291,-351.6690634,-249.6511301
193,-205.220385,-347.998528,-249.7953916
194,-206.0856321,-347.5026066,-250.7799919
195,-208.1443749,-346.503691,-255.5284815
196,-208.363709,-348.0122936,-257.055907
197,-208.0776201,-352.2777094,-256.8804383
198,-208.9965181,-357.2123653,-256.4025388
199,-204.6934016,-358.9000387,-263.2343484
200,-206.9703848,-361.7529467,-263.9476867
201,-206.6854612,-358.4637087,-261.0886367
202,-204.6124296,-358.9294981,-261.384095
203,-207.5285039,-357.9942857,-260.4320816
204,-207.5666947,-359.9911214,-257.4441508
205,-205.042255,-358.9307037,-257.3830855
206,-204.6319851,-361.225487,-257.4719107
207,-204.4865866,-357.3839952,-257.4973374
208,-203.1393905,-358.0724492,-254.868365
209,-202.3503872,-359.2061009,-258.6648939
210,-207.7479515,-356.8074258,-254.6466364
211,-208.5828276,-357.5940155,-255.1030354
212,-207.7455163,-358.2426003,-258.6447917
213,-206.3164204,-356.3150398,-256.1855035
214,-209.1721952,-356.1142095,-255.2646938
215,-212.7600245,-359.4753946,-258.4056724
216,-213.9121155,-358.1450172,-256.1055293
217,-214.05049,-359.1153064,-254.4664299
218,-214.9662557,-356.9075327,-250.9127567
219,-214.99621,-357.1304975,-254.7419184
220,-214.2644416,-358.5305751,-254.0046124
221,-215.0449889,-359.5985254,-255.4618372
222,-216.8209843,-356.8057818,-254.2841684
223,-219.8400586,-356.032407,-254.3304241
224,-220.1763385,-359.6089433,-254.0807372
225,-218.9317725,-362.7898965,-249.5667535
226,-219.3275585,-364.4994752,-249.130888
227,-220.3445765,-366.7482053,-248.5930795
228,-219.7910083,-363.3635636,-249.0103607
229,-220.154139,-360.3231266,-253.4624242
230,-220.3275381,-361.1837021,-257.2094537
231,-220.1680192,-363.1603508,-254.8750738
232,-220.9700953,-364.5530045,-253.2526586
233,-221.0260469,-364.8433872,-251.6649576
234,-221.9264801,-368.401101,-250.7164857
235,-222.117403,-366.2229062,-250.863352
236,-222.6225429,-365.8789573,-251.1815403
237,-223.8047645,-368.6535426,-251.8049032
238,-221.212464,-370.5513776,-252.6856045
239,-216.6365304,-373.0824969,-250.1823482
240,-219.8537094,-369.8447485,-249.2448603
241,-219.4768406,-370.6647053,-251.6411384
242,-220.8839605,-374.2781719,-253.528003
243,-221.7713658,-374.1289178,-252.009361
244,-227.1462123,-369.6953527,-252.0255345
245,-229.7470281,-365.7823591,-252.3445785
246,-228.4049354,-363.6454477,-254.7502573
247,-228.332487,-363.543317,-255.2235422
248,-230.7466124,-367.6577653,-252.7795673
249,-231.5395771,-367.1997349,-252.9156892
250,-233.362249,-363.0529437,-253.5496567
251,-228.7201545,-364.192323,-253.4430645
252,-232.0365131,-367.6216871,-255.7187177
253,-232.3551253,-368.2419825,-257.661909
254,-229.3993552,-370.2782183,-255.5499829
255,-239.2364339,-374.4850191,-255.9756766
256,-240.7161669,-376.2169268,-256.7546655
257,-238.7994663,-380.2503706,-256.7282897
258,-237.9366132,-386.5672073,-256.8372418
259,-242.5285981,-388.3687004,-258.151023
260,-245.6985152,-388.3932088,-257.5361988
261,-245.5070658,-390.6840728,-255.8435429
262,-245.8613133,-385.7439786,-253.3265207
263,-245.1362206,-382.6073716,-253.0063638
264,-243.3346575,-381.6842634,-255.0431501
265,-245.8078299,-384.1206658,-257.4455624
266,-246.8420932,-383.707478,-260.9290644
267,-247.3145203,-382.7873089,-260.8361535
268,-245.5662838,-380.1060383,-256.5612663
269,-243.0117643,-382.727318,-252.0166968
270,-243.7541288,-384.210866,-248.0568468
271,-243.6315539,-384.501085,-248.7092361
272,-244.5615582,-391.6128341,-249.5875079
273,-245.146,-390.4862672,-248.1348421
274,-242.6885376,-392.2964904,-246.3720924
275,-241.3633849,-388.6094121,-245.738924
276,-238.7565435,-390.2483123,-241.8648182
277,-238.4131778,-390.4387915,-239.8831983
278,-238.7719981,-391.2048632,-242.662917
279,-239.2947815,-396.0659895,-242.1522488
280,-239.6983773,-399.9267288,-240.5630718
281,-239.4903615,-400.4863025,-237.6831736
282,-239.4638646,-401.8954002,-232.6287081
283,-239.6626545,-400.1444669,-231.7414048
284,-239.4913406,-400.5912363,-228.8972902
285,-236.7727574,-398.337451,-227.8235017
286,-237.2088328,-401.4346928,-229.3789232
287,-236.3578901,-400.3599834,-229.8616008
288,-235.7115961,-404.7755622,-222.9212677
289,-239.5895867,-400.7001622,-223.9984916
290,-240.4916899,-403.8285548,-224.0017035
291,-240.5635658,-398.424832,-219.907768
292,-239.908479,-401.8919561,-220.9090601
293,-236.8742491,-403.5101223,-219.0446525
294,-235.8891888,-407.0994961,-222.8214236
295,-233.9379234,-407.696001,-218.116683
296,-233.5984922,-406.9626156,-218.9042689
297,-234.9839853,-405.9836653,-219.0831323
298,-238.0964993,-403.544637,-221.6177767
299,-237.9432391,-398.1341483,-214.4400246
300,-235.4862214,-398.9815989,-213.8402957
301,-238.0839981,-400.2810649,-214.2155789
302,-239.5442361,-397.8714358,-214.1671001
303,-236.4861518,-394.6455221,-217.7678044
304,-235.634318,-391.6092047,-221.6825775
305,-235.8945427,-392.012564,-221.5169997
306,-236.4787259,-392.1800372,-220.230574
307,-237.9969509,-397.0037575,-216.5718728
308,-239.5396827,-395.3543145,-215.5275852
309,-239.9850163,-393.5800485,-212.9744122
310,-235.3576814,-398.1691744,-214.0219878
311,-238.0030181,-400.7596368,-210.5229428
312,-237.9202831,-396.2177838,-206.9417451
313,-240.3294693,-394.0984348,-206.7187169
314,-240.2495291,-393.6733183,-205.6747999
315,-236.2961791,-394.5799799,-202.6295428
316,-237.0930051,-393.1254224,-202.3574843
317,-238.1566188,-393.1771197,-202.2953442
318,-234.3284851,-393.4986856,-203.1013609
319,-234.1993213,-397.3321118,-201.1679506
320,-234.4144659,-392.1829153,-201.6884333
321,-232.7903629,-387.080997,-201.1765874
322,-230.927131,-388.9195325,-200.9376464
323,-228.6607645,-394.4929492,-202.3635471
324,-229.4706014,-394.9653487,-202.3174171
325,-230.6183472,-395.7447324,-200.8143396
326,-230.5516967,-395.5131531,-199.8033519
327,-228.1823117,-394.7175964,-202.5507786
328,-230.0917995,-396.5087102,-201.4371729
329,-229.6117059,-397.2488514,-199.0090643
330,-227.4304371,-394.3070824,-196.8593607
331,-228.1127382,-391.9637737,-196.1740514
332,-226.9655864,-389.3702492,-196.1423622
333,-228.9828411,-386.7562991,-196.0830768
334,-229.4076148,-383.1810238,-197.3989819
335,-229.6674368,-383.2848829,-198.0736977
336,-226.8162383,-380.1114304,-199.5576614
337,-224.9296706,-374.7546741,-196.5078679
338,-224.1423551,-370.7482487,-197.8348291
339,-225.3853785,-367.6670935,-198.0438684
340,-222.0112147,-371.7693982,-198.1325422
341,-219.9412377,-372.2540497,-195.6374297
342,-218.6703114,-372.8443571,-190.9560603
343,-217.2545503,-371.7568886,-192.8594441
344,-211.5474971,-375.5366303,-199.8295097
345,-209.536024,-379.4052229,-199.2033795
346,-210.0141789,-382.3785409,-201.0063102
347,-209.4060723,-381.3831326,-203.1266579
348,-207.1856175,-376.244833,-205.1203753
349,-205.1478172,-378.6729726,-205.5026191
350,-202.3213096,-381.5031538,-205.7111335
351,-204.2414015,-379.8290589,-205.309414
352,-201.2775624,-377.3270022,-203.295994
353,-198.9321409,-376.2943665,-200.8693154
354,-197.6366764,-373.3800309,-200.8232731
355,-188.4098434,-368.9745263,-200.2960413
356,-185.6737036,-368.6627141,-198.5560777
357,-183.9171071,-364.7835059,-198.6922371
358,-184.5519176,-356.9207737,-197.1669781
359,-179.3796329,-357.9044914,-196.9248136
360,-175.0056063,-361.8202526,-201.5672545
361,-173.491752,-360.8165266,-202.5398496
362,-173.3590872,-363.3721259,-206.1408423
363,-176.6544506,-363.2494218,-203.8107268
364,-176.8744031,-365.2814908,-197.8139362
365,-174.2485162,-361.5037847,-194.7664972
366,-174.2704926,-359.0357713,-190.3340419
367,-173.4558646,-360.0963255,-190.4449971
368,-175.4268067,-358.4535648,-190.0850743
369,-176.7900665,-354.7638205,-190.5009268
370,-176.7318568,-349.6852663,-191.1358727
371,-176.9254307,-349.2616752,-188.7706019
372,-177.1634261,-338.0786786,-185.8077238
373,-176.8443705,-337.6344344,-185.7327218
374,-178.7536084,-335.4709402,-187.7034078
375,-180.4816163,-336.0032099,-189.3241084
376,-181.1824096,-336.8679968,-189.3130916
377,-181.2447632,-338.1345238,-189.1432536
378,-181.055115,-340.7998962,-186.8148579
379,-180.9541953,-341.698014,-194.9092327
380,-180.784845,-338.7520346,-194.2164597
381,-180.7752317,-338.1893384,-194.4919665
382,-180.3016592,-334.3619528,-194.0231032
383,-180.5883875,-332.2434274,-193.9797944
384,-180.0756631,-333.0010747,-192.1685467
385,-180.7766397,-332.286291,-192.2021128
386,-180.9304153,-332.7159727,-190.8917842
387,-179.3665413,-338.5595461,-190.5371511
388,-176.7967254,-334.5384652,-196.0864103
389,-173.6408608,-335.7966751,-195.1473951
390,-172.5077912,-339.8880573,-194.9476426
391,-171.7835934,-341.3489384,-194.7403892
392,-171.6486834,-339.4969499,-194.8600816
393,-171.2991058,-343.8549212,-193.7206263
394,-171.4810195,-337.8193852,-189.517953
395,-171.8575717,-339.9782665,-189.9449275
396,-170.4565511,-336.5039543,-190.2889918
397,-169.6907621,-334.4644967,-191.1126429
398,-166.4734343,-334.8978151,-188.6820805
399,-166.6006575,-334.8752804,-188.6285732
400,-168.2499138,-335.2229703,-188.8783972
401,-166.9820616,-337.3534609,-188.4003416
402,-166.8758879,-337.1115445,-187.4666361
403,-166.6251259,-337.1788858,-183.1421953
404,-167.9587119,-335.3278903,-180.0388848
405,-171.3683865,-330.4417663,-182.1671495
406,-170.9464975,-328.3770628,-182.9832368
407,-171.4128421,-332.609901,-186.4709316
408,-175.5856341,-328.7338231,-187.2525316
409,-175.4143305,-333.4978727,-186.9194916
410,-176.4197939,-328.9714527,-186.8349673
411,-176.3319913,-328.2370717,-189.2872352
412,-180.8482779,-327.7366506,-194.0938765
413,-179.3361111,-332.9939909,-197.7516415
414,-180.6967019,-338.2882764,-198.9607603
415,-180.9038986,-333.0990425,-199.2568973
416,-180.6461823,-334.5618347,-198.272915
417,-181.0967647,-335.4057851,-198.2821314
418,-179.2666169,-336.4677714,-196.9833916
419,-178.9627315,-337.1849217,-195.3155523
420,-178.840138,-338.2295852,-196.0878066
421,-178.8162535,-346.03161,-196.044735
422,-178.3366162,-345.1546389,-195.7937624
423,-177.508575,-336.621676,-195.7220427
424,-176.7096041,-333.5542075,-197.086039
425,-176.5363329,-330.7584452,-202.230483
426,-176.1994251,-332.6843869,-210.6873903
427,-176.7288605,-331.487745,-210.2851162
428,-175.553688,-329.1345347,-211.680143
429,-175.9653541,-327.9347365,-211.9969242
430,-176.2628338,-326.7496818,-213.938076
431,-177.1345585,-324.4457447,-213.6172405
432,-174.9006776,-327.7471327,-213.9647207
433,-173.2689748,-327.4740705,-214.4331911
434,-172.7762959,-327.2456637,-214.2122019
435,-174.5920529,-326.6813498,-214.5548449
436,-175.3587915,-331.3184181,-212.3376176
437,-175.2572469,-334.8026943,-212.9092181
438,-175.3534555,-334.6854833,-211.0709394
439,-175.6289916,-334.2494436,-211.9031999
440,-174.7063186,-330.0635186,-216.6574521
441,-174.6387967,-330.2848531,-216.6229925
442,-174.9003316,-330.3716812,-218.7256541
443,-176.2384539,-327.8216121,-216.3202792
444,-177.5210772,-327.1923703,-209.7491892
445,-179.1688689,-324.7459192,-209.9131905
446,-183.3764762,-322.713892,-207.2730421
447,-186.899407,-322.7610996,-205.5337934
448,-186.9841685,-323.8058273,-203.7892383
449,-187.1267314,-320.5534678,-205.5742644
450,-187.3038492,-319.1966756,-205.0516794
451,-185.7041295,-320.269449,-205.1228134
452,-184.5905253,-318.7890868,-205.2206367
453,-184.7836631,-316.9758528,-204.5832603
454,-184.8510629,-319.0990252,-205.2689513
